binomial,ESP_LAT,ESP_CAS,Family,Order,Type,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Range.Size,Ref1,hab_breadth,Ref3,adult_length_cm,female_maturity_d,clutch_size_n,clutches_per_y,maximum_longevity_y,egg_mass_g,incubation_d,fledging_age_d,longevity_y,birth_or_hatching_weight_g,brood_value,Ref4,annual_survival,Ref5,PopulationDensity_ind_km2,Ref6,brain_size_g,relative_brain_size,Ref7,eye_axial_length,eye_tranverse_diameter,activity,Ref8,Nest_type,Foraging,Degree_of_development,Development_continuum,Gregariousness,Mating_system,Ref9
Alauda arvensis,Alauda arvensis,Alondra comun,Alaudidae,Passeriformes,Aves Esteparias No Estrictas,16.6,10,4.4,4.7,24,110.3,36,70.8,33.6,69,33.7,Shrubland,2,2,Omnivore,Invertivore,Terrestrial,26018285.25,"Tobias_et_al_2022, Traba et al. in prep",13,Cooke_et_al_2019,18.5,365,3.43,2,10.1,3.35,11.5,15.25,10,NA,,"https://seo.org/ave/alondra-comun/ (adult length), Myhrvold_et_al_2015",0.75,"Hegemann, A., Matson, K. D., Flinks, H., & Tieleman, B. I. 2013. Offspring pay sooner, parents pay later: experimental manipulation of body mass reveals trade-offs between immune function, reproduction and survival. Frontiers in Zoology, 10, 77.",28.7,Santini_et_al_2023,0.97,,Sayol et al. Unpublished,NA,NA,diurnal,Wilman et al_2014,ExposedGround,GroundForaging,Altricial,-1.036,seasonal,monogamous,"https://seo.org/ave/alondra-comun/ (gregariousness), Lislevand et al 2007 (mating system), Perez-Granados et al 2016 (gregariousness); Tobias and Pigot_2019 (nest_type)"
Alaudala rufescens,Alaudala rufescens,Terrera marismeña,Alaudidae,Passeriformes,Aves Esteparias Estrictas,11.2,7.3,4,4.7,18.3,86.3,25.5,60.7,29.6,59.2,24.1,Grassland,3,2,Omnivore,Omnivore,Terrestrial,11413124.26,Tobias_et_al_2022,5,https://www.iucnredlist.org/species/216912644/219624294,13.5,365,3.5,2,5,2.04,11,9,5,NA,,"https://seo.org/ave/terrera-marismena/, Lislevand et al 2007 (egg mass), Bird et al 2020 (female maturity_using age at first breeding, longevity_copied the same to max long.)",0.59,Bird et al 2020,43.1,Santini_et_al_2023,NA,,Sayol et al. Unpublished,NA,NA,diurnal,Wilman et al_2014,ExposedGround,GroundForaging,Altricial,-1.358,seasonal,monogamous,"Madroño et al  2004 (gregariousness), Lislevand et al 2007 (mating system); Tobias and Pigot_2019 (nest_type, foraging)"
Alectoris rufa,Alectoris rufa,Perdiz roja,Phasianidae,Galliformes,Aves Esteparias No Estrictas,23.4,12.7,7.6,8.7,41.3,155.3,39.8,114.7,25.8,90.5,527.9,Shrubland,3,1,Herbivore,Herbivore terrestrial,Terrestrial,953692.19,Tobias_et_al_2022,5,Cooke_et_al_2019,33,363.468,12,1.499902076,6.25,20.1,23.5,10,6.225,13.5,,"https://seo.org/ave/perdiz-roja/ (adult length and fledging age), Myhrvold_et_al_2015",0.42,Bird et al 2020,22.0,Santini_et_al_2023,2,,Sayol et al. Unpublished,NA,NA,diurnal,Wilman et al_2014,ExposedGround,GroundForaging,Precocial,2.333,seasonal,monogamous,McGowan_et_al_2020; Tobias and Pigot_2019 (nest_type)
Anthus berthelotii,Anthus berthelotii,Bisbita caminero,Motacillidae,Passeriformes,Aves Esteparias No Estrictas,14.3,8.2,2.8,3.1,21.5,72.2,16.6,55.6,23,60.2,15.9,Rock,2,1,Carnivore,Invertivore,Terrestrial,8283.44,Tobias_et_al_2022,4,Cooke_et_al_2019,14,365,3.55,2,5.9,2.28,13,12.5,5.9,NA,,"https://seo.org/ave/bisbita-caminero/ (adult length); Bird et al 2020 (female maturity_using age at first breeding, longevity based on imputed values_also assigned to max long.); https://www.oiseaux-birds.com/card-berthelot-pipit.html (clutches_year, incubation_d, fledging_d); Myhrvold_et_al_2015",0.55,Bird et al 2020,24.2,Santini_et_al_2023,0.518,,Liu_et_al_2023,7.3,8.75,diurnal,Liu_et_al_2023 (eye size); Wilman_et_al_2014 (activity),ExposedGround,GroundForaging,Semiprecocial,-1.832,no,monogamous,Tyler_2020; Tobias and Pigot_2019 (nest_type)
Anthus campestris,Anthus campestris,Bisbita campestre,Motacillidae,Passeriformes,Aves Esteparias No Estrictas,19.9,11.4,4.3,4.5,25.9,92.7,26.1,65.3,28.5,71.5,26,Shrubland,2,3,Carnivore,Invertivore,Terrestrial,11176674.59,"Tobias_et_al_2022, Traba et al. in prep",10,Cooke_et_al_2019,17,365,4.2,1,7.08,2.73,13.5,14,7.08,2.35,,"https://seo.org/ave/bisbita-campestre/ (adult length), Bird et al 2020 (female maturity_using age at first breeding, longevity based on imputed values_also assigned to max long.), Calero-Riestra & García 2019 (birth weight), Myhrvold_et_al_2015",0.56,Bird et al 2020,3.8,Santini_et_al_2023,0.48,,Sayol et al. Unpublished,7.8,9.4,diurnal,Liu_et_al_2023 (eye size),ExposedGround,GroundForaging,Semiprecocial,-1.832,no,monogamous,"https://seo.org/ave/bisbita-campestre/ (mating system), Calero-Riestra & García 2019 (gregariousness and degree of development); Tobias and Pigot_2019 (nest_type)"
Asio flammeus,Asio flammeus,Buho campestre,Strigidae,Strigiformes,Aves Esteparias No Estrictas,27.3,13.7,9,13,42.5,297.2,141,156.2,47.5,146.5,322.6,Grassland,3,3,Carnivore,Vertivore,Aerial,39874062.36,Tobias_et_al_2022,8,Cooke_et_al_2019,36.5,364.234,6,1.25,21.8,21.3,25.35,25.5,12.9,15.7,,"https://seo.org/ave/buho-campestre/ (adult length), Myhrvold_et_al_2015",0.47,"Calladine, J., Hallgrimsson, G. T., Morrison, N., Southall, C., Gunnarsson, H., Jubete, F., ... & Mougeot, F. (2024). Remote tracking unveils intercontinental movements of nomadic Short‐eared Owls (Asio flammeus) with implications for resource tracking by irruptive specialist predators. Ibis.",5.0,Santini_et_al_2023,5.595,,Sayol et al. Unpublished,19,,diurnal,Liu_et_al_2023 (eye size); Wilman_et_al_2014 (activity),ExposedGround,AerialScreening,Semialtricial,-1.162,seasonal,monogamous,"Lislevand et al 2007 (mating system), Madroño et al 2014 (gregariousness), https://animaldiversity.org/accounts/Asio_flammeus/ (degree of development); Tobias and Pigot_2019 (nest_type)"
Athene noctua,Athene noctua,Mochuelo europeo,Strigidae,Strigiformes,Aves Esteparias No Estrictas,18.8,11.6,7.8,11.4,32.6,157.0,50.0,107.0,31.8,74.2,168.9,Human Modified,3,1,Carnivore,Omnivore,Insessorial,26742298.73,Tobias_et_al_2022,9,Cooke_et_al_2019,21,364.234,4,1,15.58333333,15.6,27.5,32.5,11.08333333,11.5,,Myhrvold_et_al_2015,0.67,Naef-Daenzer et al_2017; Schaub et al_2006; Le Gouar et al_2011; Thorup et al_2013,4.9,Santini_et_al_2023,3.833,,Sayol et al. Unpublished,18.4,3.83,nocturnal,Liu_et_al_2023 (eye size); Wilman_et_al_2014 (activity),Cavity,AerialSallying,Altricial,-1.539,no,monogamous,Holt_et_al_2020; Tobias and Pigot_2019 (nest_type)
Bucanetes githagineus,Bucanetes githagineus,Camachuelo trompetero,Fringillidae,Passeriformes,Aves Esteparias No Estrictas,11.3,7.6,6.5,8.8,16.2,81.9,28.6,53.3,34.8,53.1,19.6,Desert,3,2,Herbivore,Granivore,Terrestrial,7096376.81,Tobias_et_al_2022,2,Cooke_et_al_2019,13.75,365,4.95,2,9.01,2.11,12.4,13.15,9.01,NA,,"Bird et al 2020 (female maturity_using age at first breeding, longevity based on imputed values_also assigned to max long.); Myhrvold_et_al_2015; Barrientos_2015 (incubation, fledging, clutches per year); Clement_2020 (length)",0.51,Bird et al 2020,11.6,Santini_et_al_2023,NA,,,6.3,7.45,diurnal,Ausprey_2021; Wilman et al_2014,ExposedGround,GroundForaging,Altricial,-1.414,seasonal,monogamous,Barrientos_2015; Tobias and Pigot_2019 (nest_type)
Burhinus oedicnemus,Burhinus oedicnemus,Alcaravan comun,Burhinidae,Charadriiformes,Aves Esteparias Estrictas,43.1,20.6,8.1,9.1,75.1,233.4,111.5,122.2,47.7,116.6,459,Grassland,3,3,Carnivore,Invertivore,Terrestrial,9168330.74,Tobias_et_al_2022,5,Cooke_et_al_2019,42,726.936,2,1.5,17.9,40.5,25,39,17.83166667,29.7,,"https://seo.org/ave/alcaravan-comun/ (adult length), Myhrvold_et_al_2015",0.83,"Green, et al_1997",2.3,Santini_et_al_2023,3.64,,Sayol et al. Unpublished,19.3,23.35,nocturnal,Liu_et_al_2023 (eye size),ExposedGround,GroundForaging,Precocial,1.428,all-year round,monogamous,"Madroño et al 2004 (gregariousness), Snow and Perrins 1998 (monogamy); Tobias and Pigot_2019 (nest_type)"
Calandrella brachydactyla,Calandrella brachydactyla,Terrera comun,Alaudidae,Passeriformes,Aves Esteparias Estrictas,14.1,9.3,4.6,5.1,20.4,93.2,32.3,61.2,34.5,59,21.3,Shrubland,2,2,Omnivore,Invertivore,Terrestrial,9578341.98,"Tobias_et_al_2022, Traba et al. in prep",5,Cooke_et_al_2019,13.5,365,4.005,2,8.69,2.43,13,12.5,8.69,1.8,,"https://seo.org/ave/terrera-comun/ (adult length, incubation and fleding age), Bird et al 2020 (female maturity_using age at first breeding, longevity based on imputed values_also assigned to max long.), Myhrvold_et_al_2015",0.57,Bird et al 2020,26.1,Santini_et_al_2023,NA,,Sayol et al. Unpublished,NA,NA,diurnal,Wilman et al_2014,ExposedGround,GroundForaging,Altricial,-1.358,seasonal,monogamous,"de Juana, E., F. Suárez, and G. M. Kirwan (2020). Greater Short-toed Lark (Calandrella brachydactyla), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.gstlar1.01; Tobias and Pigot_2019 (nest_type)"
Eudromias morinellus,Charadrius morinellus,Chorlito carambolo,Charadriidae,Charadriiformes,Aves Esteparias No Estrictas,18.8,11.2,3.5,4.3,35.6,147.4,81.8,64.5,55.9,66.3,108.2,Grassland,3,3,Carnivore,Invertivore,Terrestrial,3830439.01,Tobias_et_al_2022,4,Cooke_et_al_2019,22.25,726.936,3,1.5,11.83,17,26,27.5,11.8,11.8,,https://seo.org/ave/chorlito-carambolo/; Myhrvold_et_al_2015,0.71,Bird et al 2020,4.7,Santini_et_al_2023,NA,,,NA,NA,diurnal,Wilman et al_2014,ExposedGround,GroundForaging,Precocial,2.333,no,polyandrous,Wiersma and Kirwan_2023; Lislevand et al. (2007 (mating system); Tobias and Pigot_2019 (nest_type)
Chersophilus duponti,Chersophilus duponti,Alondra ricoti,Alaudidae,Passeriformes,Aves Esteparias Estrictas,22.7,15.1,5,5.2,24.1,101.7,24.8,70.9,25.9,65.4,39.3,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,288089.02,"Tobias_et_al_2022, Traba et al. in prep",5,Cooke_et_al_2019,18,365,2.76,2,4,3.59,12.5,30,4,3.275,,"https://seo.org/ave/alondra-ricoti/ (adult length, clutches p year, and incubation), Bird et al 2020 (female maturity_using age at first breeding, longevity_copied the same to max long.), Garza et al 2005 (fledging age), Pérez-Granados et al 2017 (birth weight), Myhrvold_et_al_2015",0.70,Vögeli et al_2008,8.3,"Pérez-Granados et al 2013, García et al 2008, Martín-Vivaldi et al 1999, Garza et al 2005 (Median value of these sources)",NA,,Sayol et al. Unpublished,9,10.5,diurnal,Ausprey_2021; Wilman et al_2014,ExposedGround,GroundForaging,Altricial,-1.036,no,monogamous,"Pérez-Granados et al 2017, Snow and Perins 1998; Tobias and Pigot_2019 (nest_type)"
Chlamydotis undulata subsp. Fuertaventurae,Chlamydotis undulata subsp. Fuertaventurae,Hubara canaria,Otididae,Otidiformes,Aves Esteparias Estrictas,49.6,24.3,11.2,9.2,92.1,364.3,149.3,213.3,41.1,222.0,1501.3,Desert,3,1,Herbivore,Omnivore,Terrestrial,3413138.33,Tobias_et_al_2022,4,Cooke_et_al_2019,60,545.202,2.5,1,15,68,23.5,35,12.5,NA,,Collar and Garcia_2020 (adult length); Myhrvold_et_al_2015,0.94,Alonso et al_2024,0.2,Santini_et_al_2023,5.5,,Sayol et al. Unpublished,21.3,27.7,diurnal,Ausprey_2021; Wilman et al_2014,ExposedGround,GroundForaging,Precocial,1.438,seasonal,polyandrous,Collar and Garcia_2020; Tobias and Pigot_2019 (nest_type)
Circus cyaneus,Circus cyaneus,Aguilucho palido,Accipitridae,Accipitriformes,Aves Esteparias No Estrictas,30.1,16,9.7,13,72.1,352.4,158.9,197.1,44.7,131.7,393,Shrubland,3,3,Carnivore,Vertivore,Aerial,17331412.86,"Tobias_et_al_2022; BeaArroyo, Cramps and Simmons 1980",8,Cooke_et_al_2019,50,584.4,4.5,1,17.1,31,31,36.25,16.74983333,21.8,,"https://seo.org/ave/aguilucho-palido/ (adult length), Myhrvold_et_al_2015",0.778,Etheridge et al_1997; Picozzi_1984,1.1,Santini_et_al_2023,4.775,,Sayol et al. Unpublished,18.5,NA,diurnal,Liu_et_al_2023 (eye size),ExposedGround,AerialScreening,Altricial,-0.187,seasonal,monogamous,Bea Arroyo (unpublished); Tobias and Pigot_2019 (nest_type)
Circus macrourus,Circus macrourus,Aguilucho papialbo,Accipitridae,Accipitriformes,Aves Esteparias No Estrictas,29.5,15.0,9.7,12.7,68.0,351.2,185.0,168.4,52.4,226.6,384.4,Grassland,3,3,Carnivore,Vertivore,Aerial,6168290.72,"Tobias_et_al_2022; BeaArroyo, Cramps and Simmons 1980",7,Cooke_et_al_2019,45,726.936,4.5,1,13.5,28,29.5,40,13.4585,NA,,Myhrvold_et_al_2015,0.71,Bird et al 2020,0.1,Santini_et_al_2023,NA,,,NA,NA,diurnal,Wilman et al_2014,ExposedGround,AerialScreening,Altricial,-0.579,seasonal,monogamous,Orta_et_al_2020; Tobias and Pigot_2019 (nest_type)
Circus pygargus,Circus pygargus,Aguilucho cenizo,Accipitridae,Accipitriformes,Aves Esteparias No Estrictas,26.1,13.5,8.6,11.2,62,362.3,188,173.3,52,224.8,310.8,Grassland,3,3,Carnivore,Vertivore,Aerial,6837154.32,Tobias_et_al_2022,7,Cooke_et_al_2019,42.5,819.335,4.25,1,16.3,24,29.25,37.5,16.23333333,16.7,,"https://seo.org/ave/aguilucho-cenizo/ (adult length), Myhrvold_et_al_2015; Beatriz Arro (personal comm.)",0.675,Millon et al_2019; Klaassen et al_2014,3.7,Santini_et_al_2023,NA,,Sayol et al. Unpublished,NA,NA,diurnal,Wilman et al_2014,ExposedGround,AerialScreening,Altricial,-0.343,seasonal,monogamous,Bea Arroyo (unpublished); Tobias and Pigot_2019 (nest_type)
Cisticola juncidis,Cisticola juncidis,Cisticola buitron,Cisticolidae,Passeriformes,Aves Esteparias No Estrictas,12.1,6.8,2.3,2.6,17.7,48.9,6.7,42.8,13.5,40.3,6.8,Grassland,3,3,Carnivore,Invertivore,Generalist,18929166.75,Tobias_et_al_2022,11,Cooke_et_al_2019,10,365,3.7,2.5,7.06,1.035,10,15,7.06,NA,,"https://seo.org/ave/buitron/(adult length, fledging age), Bird et al 2020 (female maturity_using age at first breeding, longevity based on imputed values_also assigned to max long.), Myhrvold_et_al_2015",0.56,Bird et al 2020,54.9,Santini_et_al_2023,NA,,Sayol et al. Unpublished,NA,NA,diurnal,Wilman et al_2014,Cavity,GroundForaging,Altricial,-2.628,no,polyginic,"Lislevand et al 2007 (mating system), Snow and Perrins 1998; Tobias and Pigot_2019 (nest_type)"
