binomial,ESP_LAT,ESP_CAS,Family,Order,Type,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Range.Size,Ref1,hab_breadth,Ref3,adult_length_cm,female_maturity_d,clutch_size_n,clutches_per_y,maximum_longevity_y,egg_mass_g,incubation_d,fledging_age_d,longevity_y,birth_or_hatching_weight_g,brood_value,Ref4,annual_survival,Ref5,PopulationDensity_ind_km2,Ref6,brain_size_g,relative_brain_size,Ref7,eye_axial_length,eye_tranverse_diameter,activity,Ref8,Nest_type,Foraging,Degree_of_development,Development_continuum,Gregariousness,Mating_system,Ref9
Coracias garrulus,Coracias garrulus,Carraca europea,Coraciidae,Coraciiformes,Aves Esteparias No Estrictas,40.2,26.9,9.8,12.9,23.7,190.8,72.6,120.7,37.5,122.6,146.0,Woodland,2,3,Carnivore,Invertivore,Insessorial,9539437.58,Tobias_et_al_2022,9,Cooke_et_al_2019,31,363.468,4.25,1,9.2,15.4,18,26.5,9.166666667,10,,https://seo.org/ave/carraca-europea/ (adult length); Myhrvold_et_al_2015,0.55,Rodríguez-Ruiz_2020,13.0,Avilés_2016,2.3,,Sayol et al. Unpublished,12.95,16.1,diurnal,Liu_et_al_2023 (eye size); Wilman_et_al_2014 (activity),Cavity,AerialSallying,Altricial,-2.473,no,monogamous,https://seo.org/ave/carraca-europea/; Avilés_2016; Fry_et_al_2020; Tobias and Pigot_2019 (nest_type)
Coturnix coturnix,Coturnix coturnix,Codorniz comun,Phasianidae,Galliformes,Aves Esteparias No Estrictas,15.6,7.7,5.5,5.2,24.5,106.2,43.2,62.4,41,38.3,96.3,Human Modified; Grassland,3,3,Herbivore,Granivore,Terrestrial,21283218.76,Tobias_et_al_2022,4,Cooke_et_al_2019,17,364.234,10.30487805,1.25,14.58333333,8.2,17.25,11,11,5.5,,"https://seo.org/ave/codorniz-comun/ (adult length), https://animaldiversity.org/accounts/Coturnix_coturnix/ (fledging age), Myhrvold_et_al_2015",0.29,Puigcerver et al_1992,2.5,Santini_et_al_2023,0.88,,Sayol et al. Unpublished,8.3,10.05,diurnal,Ausprey_2021; Liu_et_al_2023 (activity) ,ExposedGround,GroundForaging,Precocial,2.333,all-year round,monogamous,"Lislevand et al 2007 (mating system), https://animaldiversity.org/accounts/Coturnix_coturnix/ (degree of development), Puigcerver et al 2022 (gregariousness); Tobias and Pigot_2019 (nest_type)"
Cursorius cursor,Cursorius cursor,Corredor sahariano,Glareolidae,Charadriiformes,Aves Esteparias Estrictas,27.1,17.1,5,4.5,51.2,151.5,70.2,81.2,46.4,57.2,138,Desert,3,2,Carnivore,Invertivore,Terrestrial,3131259.74,Tobias_et_al_2022,4,Cooke_et_al_2019,25.5,363.468,2,1.5,13.28,13.7,24,28,13.28,9.5,,"https://seo.org/ave/corredor-sahariano/ (adult length), Bird at al 2020 (longevity based on imputed values_also assigned to max long), Rice et al 2020 (incubation, birth weight), McLean_et_al_2020 (fledging age), Myhrvold_et_al_2015",0.76,Bird et al 2020,1.8,Santini_et_al_2023,1.395,,Sayol et al. Unpublished,12.8,16.3,diurnal,Liu_et_al_2023 (eye size),ExposedGround,GroundForaging,Precocial,1.438,all-year round,monogamous,"Madroño et al 2004 (gregariousness), Rice et al 2020 (mating system); Tobias and Pigot_2019 (nest_type)"
Emberiza calandra,Emberiza calandra,Escribano triguero,Emberizidae,Passeriformes,Aves Esteparias No Estrictas,16.2,9.6,6,8.2,24.4,97.2,25.7,71.3,26.5,70.5,48.5,Grassland,3,2,Herbivore,Omnivore,Terrestrial,7483952.2,Tobias_et_al_2022,3,https://www.iucnredlist.org/species/22721020/155499724#habitat-ecology,17.5,364.234,4.5,2,10.58333333,3.91,12.5,12.5,10.5,NA,,"https://seo.org/ave/escribano-triguero/ (adult length), Myhrvold_et_al_2015",0.58,Bird et al 2020,1.3,Santini_et_al_2023,1.17175,,Sayol et al. Unpublished,NA,NA,diurnal,Wilman et al_2014,ExposedGround,GroundForaging,Altricial,-1.393,seasonal,polyginic,Mating system (Snow and Perrins 1998_Volume2); Tobias and Pigot_2019 (nest_type)
Falco columbarius,Falco columbarius,Esmerejón,Falconidae,Falconiformes,Aves Esteparias No Estrictas,16.6,11.8,8.0,10.5,34.3,199.6,98.8,103.5,48.9,116.6,188.5,Woodland,3,3,Carnivore,Vertivore,Aerial,26326086.22,Tobias_et_al_2022,8,Cooke_et_al_2019,28,545.202,4.5,1,16,21.75,30,30,12.5,13,,Myhrvold_et_al_2015,0.62,Lieske et al_2000,0.9,Santini_et_al_2023,3.1,,Sayol et al. Unpublished,NA,NA,diurnal,Wilman et al_2014,ExposedElevated,AerialScreening,Semialtricial,-0.890,,monogamous,Lislevand et al 2007 (mating system); Warkentin_et_al_2020; Tobias and Pigot_2019 (nest_type)
Falco naumanni,Falco naumanni,Cernicalo primilla,Falconidae,Falconiformes,Aves Esteparias No Estrictas,19.8,13,9.5,11,29.9,229.3,123.4,105.7,53.9,132.4,152.1,Grassland,3,3,Carnivore,Invertivore,Generalist,9560575.62,Tobias_et_al_2022,9,Cooke_et_al_2019,28.5,545.202,4.2,1,10.91666667,16,27.75,27,6.2,NA,,"https://seo.org/ave/cernicalo-primilla/ (adult length), Myhrvold_et_al_2015",0.69,Hiraldo et al_1996; Prugnolle et al_2003; Serrano et al_2005; Mihoub et al_2010,2.0,García et al. 2000,2.855,,Sayol et al. Unpublished,11.9,,diurnal,Liu_et_al_2023 (eye size); Wilman_et_al_2014 (activity),Cavity,AerialSallying,Altricial,-0.682,seasonal,monogamous,Madroño et al 2004 (gregariousness); Tobias and Pigot_2019 (nest_type)
Galerida cristata,Galerida cristata,Cogujada comun,Alaudidae,Passeriformes,Aves Esteparias Estrictas,19.8,13.7,4.7,5.4,24.8,103.4,27.7,75.8,26.7,62,42.7,Grassland,3,1,Omnivore,Omnivore,Terrestrial,24389170.69,Tobias_et_al_2022,12,Cooke_et_al_2019,18,365,4.275,2,11.58333333,3.24,12,15,8.791666667,NA,,"https://seo.org/ave/cogujada-comun/ (adult length, incubation, fledging age), Myhrvold_et_al_2015",0.64,Bird et al 2020,15.2,Santini_et_al_2023,1.143,,Sayol et al. Unpublished,7.3,9.18,diurnal,Liu_et_al_2023 (eye size),ExposedGround,GroundForaging,Altricial,-1.036,seasonal,monogamous,Carlos Martín (personal comm.); Tobias and Pigot_2019 (nest_type)
Galerida theklae,Galerida theklae,Cogujada montesina,Alaudidae,Passeriformes,Aves Esteparias No Estrictas,16.9,10.9,4.6,5.4,24.5,98.4,23,75.3,23.3,58.8,38.2,Shrubland,2,1,Omnivore,Omnivore,Terrestrial,2270448.11,Tobias_et_al_2022,7,Cooke_et_al_2019,17,365,4.07,2,9.12,3.21,12,11,9.12,NA,,"https://seo.org/ave/cogujada-montesina/ (adult length, clutches p year, incubation, fledging age), Bird et al 2020 (female maturity_using age at first breeding, longevity based on imputed values_also assigned to max long.), Myhrvold_et_al_2015",0.66,Bird et al 2020,4.0,Santini_et_al_2023,0.92,,Tsuboi et al 2018,NA,NA,diurnal,Wilman et al_2014,ExposedGround,GroundForaging,Altricial,-1.036,seasonal,monogamous,Carlos Martín (personal comm.); Tobias and Pigot_2019 (nest_type)
Gelochelidon nilotica,Gelochelidon nilotica,Pagaza piconegra,Laridae,Pagaza piconegra,Aves Esteparias No Estrictas,42.1,27.0,6.2,10.8,31.5,308.1,213.6,105.1,67.0,123.5,218.3,Coastal,3,3,Carnivore,Omnivore,Aerial,7524091.88,Tobias_et_al_2022,10,Cooke_et_al_2019,38,1821.17,3,1,16,30.5,22.25,31.5,15.75,22.45,,Myhrvold_et_al_2015; https://seo.org/ave/pagaza-piconegra/,0.77,Bird et al 2020,NA,,NA,,,NA,NA,diurnal,Wilman et al_2014,ExposedGround,AerialScreening,Precocial,0.186,seasonal,monogamous,Molina_et_al_2023; https://seo.org/wp-content/uploads/2012/04/24_charranes.pdf; Tobias and Pigot_2019 (nest_type)
Glareola pratincola,Glareola pratincola,Canastera comun,Glareolidae,Charadriiformes,Aves Esteparias No Estrictas,20.1,9.9,4.9,6,30.9,181.6,110.6,71.7,60.7,106,84.9,Grassland,3,3,Carnivore,Invertivore,Aerial,5351786.34,Tobias_et_al_2022,9,Cooke_et_al_2019,26,363.468,3,1,12.63,9.95,18,27.5,12.63,7,,"https://seo.org/ave/canastera-comun/ (adult length), Bird et al 2020 (longevity based on imputed values_also assigned to max long.), Myhrvold_et_al_2015",0.75,Bird et al 2020,8.7,Santini_et_al_2023,NA,,,NA,NA,diurnal,Wilman et al_2014,ExposedGround,AerialScreening,Precocial,1.345,all-year round,monogamous,"Cramp 1980, Mating system (Snow and Perrins 1998); McLean and Kirwan_2020; Tobias and Pigot_2019 (nest_type)"
Lanius meridionalis,Lanius meridionalis,Alcaudon real,Laniidae,Passeriformes,Aves Esteparias No Estrictas,22.9,13.2,6.7,8.9,30.6,104.1,24.8,79.2,23.8,106.2,60.4,Shrubland,2,2,Carnivore,Invertivore,Insessorial,557659.42,Tobias_et_al_2022,5,https://www.iucnredlist.org/species/22729533/200216423#habitat-ecology,24.5,349.234,5.2,1.25,16.1,5.3,15,20,7.333333333,4,,Myhrvold_et_al_2015; Yosef et al_2020a,0.47,Bird et al 2020,3.6,Hernández 2020,1.48,,Moller_2005 (L. excubitor),8.78,10.04,diurnal,"Liu_et_al_2023 (eye size, L. excubitor); Wilman_et_al_2014 (activity)",ExposedElevated,AerialSallying,Altricial,-2.317,no,monogamous,Yosef et al_2020a; Hernández 2020; Tobias and Pigot_2019 (nest_type)
Lanius minor,Lanius minor,Alcaudon chico,Laniidae,Passeriformes,Aves Esteparias No Estrictas,20.0,11.0,6.9,9.2,25.5,118.0,42.6,75.5,36.0,87.6,46.5,Grassland,3,3,Carnivore,Invertivore,Insessorial,8409985.28,Tobias_et_al_2022,9,Cooke_et_al_2019,21,365,5.5,1,6,4.3,15.5,14.5,6,NA,,Myhrvold_et_al_2015; Yosef et al_2020b (female maturity),0.33,Krištín et al_2007,6.1,Santini_et_al_2023,NA,,,9.8,12.45,diurnal,Ausprey_2021; Wilman_et_al_2014 (activity),ExposedElevated,AerialSallying,Altricial,-2.317,no,monogamous,Yosef et al_2020b; Tobias and Pigot_2019 (nest_type)
Melanocorypha calandra,Melanocorypha calandra,Calandria comun,Alaudidae,Passeriformes,Aves Esteparias Estrictas,18.7,13,5.4,8.2,27.1,124,46.3,77.3,37.2,61.6,61.6,Grassland,3,2,Omnivore,Omnivore,Terrestrial,5323937.62,Tobias_et_al_2022,4,Cooke_et_al_2019,18.5,365,4.35,2,11.34,4.09,16,20.5,11.34,NA,,"https://seo.org/ave/calandria-comun/ (adult length), Bird et al 2020 (female maturity_using age at first breeding, longevity based on imputed values_also assigned to max long.), Myhrvold_et_al_2015; De Juana and Suárez_2020",0.63,Bird et al 2020,41.0,Santini_et_al_2023,1.36,,Sayol et al. Unpublished,NA,NA,diurnal,Wilman et al_2014,ExposedGround,GroundForaging,Altricial,-1.254,seasonal,monogamous,Carlos Martín (personal comm.); Tobias and Pigot_2019 (nest_type)
Oenanthe hispanica,Oenanthe hispanica,Collalba rubia,Muscicapidae,Passeriformes,Aves Esteparias No Estrictas,14.4,9.8,3.9,3.6,23.3,89.7,23.2,64.6,26.4,61,18.2,Shrubland,2,3,Carnivore,Invertivore,Insessorial,3529344.19,"Tobias_et_al_2022, Traba et al. in prep",4,Cooke_et_al_2019,14,365,5,1,4.9,2.45,14,12.6,4.9,NA,,"https://seo.org/ave/collalba-rubia-occidental/ (adult length, incubation, and fledging age), Bird et al 2020 (female maturity_using age at first breeding, longevity_copied the same to max long.), Myhrvold_et_al_2015; Suárez, F (1987) Historia Natural de la Collalba Rubia durante la época de reproducción. PhD Thesis, Universidad Complutense de Madrid.",0.47, Bird et al 2020,28.0,Santini_et_al_2023,NA,,,NA,NA,diurnal,Wilman et al_2014,Cavity,ForagingGeneralist,Altricial,-1.469,no,monogamous,Snow and Perrins 1998;  Tobias and Pigot_2019 (nest_type)
Oenanthe leucura,Oenanthe leucura,Collalba negra,Muscicapidae,Passeriformes,Aves Esteparias No Estrictas,22.3,12.1,4.1,4.4,27.1,96.9,20.9,76.0,21.5,66.6,41.0,Rock,3,2,Carnivore,Invertivore,Insessorial,1288299.84,Tobias_et_al_2022,4,Cooke_et_al_2019,18,365,4,3,9.83,4.23,14.5,15,5,NA,,"https://sierradebaza.org/fichas-tecnicas/fichas-de-fauna/fichas-aves/aves-c-e/collalba-negra-oenanthe-leucura (longevity), Bird_et al_2020 (max_longevity)",0.65, Bird et al 2020,24.0,Moreno_2016,NA,,,NA,NA,diurnal,Wilman et al_2014,Cavity,AerialSallying,Altricial,-1.472,no,monogamous,"Collar_2000, Moreno_2016;  Tobias and Pigot_2019 (nest_type)"
Oenanthe oenanthe,Oenanthe oenanthe,Collalba gris,Muscicapidae,Passeriformes,Aves Esteparias No Estrictas,17.5,10.4,4.5,3.9,27.2,96.2,30.5,64.6,32.1,56.1,24.3,Shrubland,2,3,Carnivore,Invertivore,Insessorial,29248291.46,"Tobias_et_al_2022, Traba et al. in prep",11,Cooke_et_al_2019,15,365,5.33,1,10.08333333,2.75,13,14.5,9.6,2.8,,"https://seo.org/ave/collalba-gris/ (adult length), Myhrvold_et_al_2015; Suárez, F (1987) Historia Natural de la Collalba Rubia durante la época de reproducción. PhD Thesis, Universidad Complutense de Madrid.",0.52,Paquet et al_2020,14.1,Santini_et_al_2023,0.81,,Sayol et al. Unpublished,7.2,9.7,diurnal,Liu_et_al_2023 (eye size),Cavity,AerialSallying,Altricial,-1.472,seasonal,monogamous,"Lislevand et al 2007 (mating system), Snow and Perrins 1998;  Tobias and Pigot_2019 (nest_type)"
Otis tarda,Otis tarda,Avutarda euroasiatica,Otididae,Otidiformes,Aves Esteparias Estrictas,62.3,32,15.6,18.5,137.8,550.8,228.5,307.8,42.7,218.3,6759.9,Grassland,3,2,Omnivore,Omnivore,Terrestrial,4521984.02,Tobias_et_al_2022,3,Cooke_et_al_2019,90,650,2.5,1,28.3,144.5,24.5,33.75,28.3,88.5,-1.48,"https://seo.org/ave/avutarda-comun/ (adult length), Myhrvold_et_al_2015, Martin_et_al_2008 (age first repro)",0.91,Martín et al_2007,1.4,Santini_et_al_2023,10.8,,Sayol et al. Unpublished; Mlikovsky_1989b,27,31.25,diurnal,Liu_et_al_2023 (eye size),ExposedGround,GroundForaging,Precocial,1.438,seasonal,polyginic,Carlos Martín (personal comm.); Tobias and Pigot_2019 (nest_type)
Pluvialis apricaria,Pluvialis apricaria,Chorlito dorado,Charadriidae,Charadriiformes,Aves Esteparias No Estrictas,25.0,14.8,3.7,4.9,38.0,181.2,104.2,77.2,57.4,70.2,214.0,Grassland,3,3,Carnivore,Invertivore,Terrestrial,3294836.99,Tobias_et_al_2022,7,Cooke_et_al_2019,27.5,365.25,4,1,12.8,33,30.7,29,12.75,24.5,,Myhrvold_et_al_2015; Wiersma et al. 2020b (length),0.65,Gudmundsson_1997,1.2,Santini_et_al_2023,2.3,,Sayol et al. Unpublished; Mlikovsky_1989b,15.4,,diurnal,Liu_et_al_2023 (eye size); Wilman_et_al_2014 (activity),ExposedGround,GroundForaging,Precocial,2.302,seasonal,monogamous,Wiersma et al. 2020b 
Pterocles alchata,Pterocles alchata,Ganga iberica,Pteroclidae,Pterocliformes,Aves Esteparias Estrictas,17.9,10.1,6.9,9,27.6,194,120.2,75.2,61.5,142,275.8,Grassland,3,2,Herbivore,Granivore,Terrestrial,3142814.68,Tobias_et_al_2022,4,Cooke_et_al_2019,35,363.468,3,2,17.3,24.5,22.5,25,17.3,16.5,,"https://seo.org/ave/ganga-iberica/ (adult length), Bird et al 2020 (longevity based on imputed values_also assigned to max long.), Myhrvold_et_al_2015",0.60,Benitez-Lopez et al_2015,1.3,Sanz-Pérez et al. en prep,1.45,,Sayol et al. Unpublished,NA,NA,diurnal,Wilman et al_2014,ExposedGround,GroundForaging,Precocial,2.312,seasonal,monogamous,Ana Benítez (personal comm.); Tobias and Pigot_2019 (nest_type)
Pterocles orientalis,Pterocles orientalis,Ganga ortega,Pteroclidae,Pterocliformes,Aves Esteparias Estrictas,19.7,9.9,5.7,7,25.7,228.2,145.5,83,63.7,90.2,404.9,Grassland,3,2,Herbivore,Granivore,Terrestrial,5783511.92,Tobias_et_al_2022,5,Cooke_et_al_2019,35,363.468,2.76,2,18.76,27.5,25.5,25,18.76,18.5,,"https://seo.org/ave/ganga-ortega/ (adult length), Bird et al 2020 (longevity based on imputed values_also assigned to max long.), Myhrvold_et_al_2015",0.75,Bird et al 2020,1.3,"Mougeot F, Fernández-Tizón M, Tarjuelo R, Benítez-López A, Jiménez J (2024). Population decline of the Black-bellied Sandgrouse Pterocles orientalis in continental Spain, a main western Palearctic stronghold. Bird Conservation International, 34, e11, 1–10 https://doi.org/10.1017/S0959270924000066",2.4,,Sayol et al. Unpublished,NA,NA,diurnal,Wilman et al_2014,ExposedGround,GroundForaging,Precocial,2.333,seasonal,monogamous,Ana Benítez (personal comm.); Tobias and Pigot_2019 (nest_type)
