Species,CommonName,Promedio
Pterocles alchata,Pin-Tailed Sandgrouse,10
Pterocles orientalis,Black-bellied Sandgrouse,9.9
Chersophilus duponti,Dupont’s Lark,9.8
Tetrax tetrax,Little Bustard,9.8
Otis tarda,Great Bustard,9.8
Chlamydotis undulata fuertaventurae,Canarian Houbara Bustard,9.6
Alaudala rufescens,Lesser Short-toed Lark,9.4
Melanocorypha calandra,Calandra Lark,9.4
Calandrella brachydactyla,Short-toed Lark,9.3
Cursorius cursor,Cream-coloured Courser,9
Burhinus oedicnemus,Stone Curlew,8.5
Galerida cristata,Crested Lark,7.5
Falco naumanni,Lesser Kestrel,8.5
Oenanthe hispanica,Black-eared Wheater,8.1
Galerida theklae,Thekla Lark,8.1
Anthus campestris,Tawny Pipit,8.1
Circus pygargus,Montagu’s Harrier,8.1
Coracias garrulus,European Roller,7.9
Alauda arvensis,Skylark,7.5
Emberiza calandra,Corn Bunting,7.3
Circus cyaneus,Hen Harrier,7
Coturnix coturnix,Quail,7.1
Oenanthe oenanthe,Northern Wheater,7
Glareola pratincola,Collared Pratincole,6.5
Sylvia conspicillata,Spectacled Warbler,6.9
Assio flammeus,Short-eared Owl,6.8
Anthus berthelotii,Berthelot's Pipit,6.5
Lanius meridionalis,Great grey Shrike,6.3
Alectoris rufa,Red-legged Partridge,6.1
Lanius minor,Lesser grey Shrike,6
Circus macrourus,Pallid harrier,6
Falco columbarius,Merlin,5.8
Cisticola juncidis,Zitting Cisticola,5.2
Athene noctua,Little Owl,4.8
Pluvialis apricaria,European golden plover,3.6
Vanellus vanellus,Northern lapwing,3.5
Saxicola dacotiae,Stonechat,6.6